material,pulse_width_ps,frequency_kHz,hatch_spacing_um,passes,scan_speed_mm_s,power_W,depth_um,Sa_um,Sq_um,Sz_um,source_file,valid_flag,note
AlSiC,0.223,2,2.0,4,200.0,,11.138,1.961,2.302,11.451,AlSiC.csv,True,
AlSiC,0.223,2,4.0,5,175.0,,7.094,1.217,1.563,13.882,AlSiC.csv,True,
AlSiC,0.223,2,6.0,3,150.0,,3.195,1.142,1.398,9.156,AlSiC.csv,True,
AlSiC,0.223,2,8.0,3,175.0,,2.485,1.069,1.333,7.697,AlSiC.csv,True,
AlSiC,0.223,2,8.0,5,150.0,,3.69,1.371,1.654,10.457,AlSiC.csv,True,
AlSiC,0.223,2,10.0,2,150.0,,0.686,1.762,2.014,11.264,AlSiC.csv,True,
AlSiC,0.223,2,10.0,5,125.0,,1.862,2.025,2.359,11.417,AlSiC.csv,True,
AlSiC,0.223,2,10.0,5,200.0,,2.207,3.177,3.687,15.747,AlSiC.csv,True,
AlSiC,0.223,5,2.0,4,100.0,,25.201,3.2,3.838,19.179,AlSiC.csv,True,
AlSiC,0.223,5,4.0,1,100.0,,3.11,3.066,3.348,12.492,AlSiC.csv,True,
AlSiC,0.223,5,6.0,4,100.0,,6.495,2.01,2.432,12.693,AlSiC.csv,True,
AlSiC,0.223,5,8.0,4,200.0,,1.739,1.409,1.766,15.117,AlSiC.csv,True,
AlSiC,0.223,5,8.0,5,150.0,,4.404,1.305,1.791,16.629,AlSiC.csv,True,
AlSiC,0.223,5,10.0,2,175.0,,1.084,1.143,1.474,12.653,AlSiC.csv,True,
AlSiC,0.223,10,8.0,1,150.0,,2.74,1.476,1.761,10.917,AlSiC.csv,True,
AlSiC,0.223,10,8.0,4,200.0,,12.644,1.847,2.171,13.546,AlSiC.csv,True,
AlSiC,0.223,20,2.0,2,100.0,,45.416,6.731,11.206,63.143,AlSiC.csv,True,
AlSiC,0.223,20,4.0,1,175.0,,15.549,2.537,3.105,16.526,AlSiC.csv,True,
AlSiC,0.223,20,4.0,1,200.0,,16.516,2.903,3.425,16.065,AlSiC.csv,True,
AlSiC,0.223,20,4.0,5,100.0,,60.576,4.215,5.424,39.225,AlSiC.csv,True,
AlSiC,0.223,20,6.0,3,100.0,,23.744,2.026,2.449,15.112,AlSiC.csv,True,
AlSiC,0.223,20,6.0,3,200.0,,22.73,2.281,2.758,15.495,AlSiC.csv,True,
AlSiC,0.223,40,8.0,4,100.0,,40.776,2.948,3.762,26.846,AlSiC.csv,True,
AlSiC,0.223,40,10.0,5,200.0,,40.3,3.052,3.793,28.153,AlSiC.csv,True,
AlSiC,0.5,2,2.0,3,150.0,,7.306,1.267,1.875,15.61,AlSiC.csv,True,
AlSiC,0.5,2,10.0,1,200.0,,0.2,1.548,2.011,10.556,AlSiC.csv,True,
AlSiC,0.5,5,2.0,4,150.0,,22.421,1.626,2.064,13.469,AlSiC.csv,True,
AlSiC,0.5,5,4.0,1,175.0,,2.243,1.344,1.876,12.053,AlSiC.csv,True,
AlSiC,0.5,5,4.0,4,150.0,,11.178,1.235,1.543,11.287,AlSiC.csv,True,
AlSiC,0.5,5,6.0,2,150.0,,4.417,1.404,1.697,10.479,AlSiC.csv,True,
AlSiC,0.5,5,8.0,2,175.0,,3.112,1.879,2.343,11.72,AlSiC.csv,True,
AlSiC,0.5,10,4.0,2,100.0,,12.23,1.355,1.826,21.033,AlSiC.csv,True,
AlSiC,0.5,10,4.0,5,200.0,,29.771,1.54,1.964,13.513,AlSiC.csv,True,
AlSiC,0.5,10,6.0,3,100.0,,13.116,1.18,1.49,11.144,AlSiC.csv,True,
AlSiC,0.5,10,8.0,1,200.0,,4.233,1.172,1.455,9.998,AlSiC.csv,True,
AlSiC,0.5,10,8.0,5,125.0,,15.755,1.289,1.614,13.166,AlSiC.csv,True,
AlSiC,0.5,10,10.0,3,200.0,,7.574,1.739,2.142,15.082,AlSiC.csv,True,
AlSiC,0.5,20,2.0,2,175.0,,46.349,3.948,4.804,29.232,AlSiC.csv,True,
AlSiC,0.5,20,6.0,1,100.0,,6.598,1.716,2.056,12.11,AlSiC.csv,True,
AlSiC,0.5,20,6.0,5,125.0,,38.906,2.216,3.057,27.741,AlSiC.csv,True,
AlSiC,0.5,20,8.0,5,100.0,,28.215,2.326,3.088,22.514,AlSiC.csv,True,
AlSiC,0.5,20,10.0,3,175.0,,10.662,2.197,2.766,20.848,AlSiC.csv,True,
AlSiC,0.5,20,10.0,5,200.0,,19.953,1.956,2.566,18.006,AlSiC.csv,True,
AlSiC,0.5,40,6.0,3,125.0,,41.114,2.483,3.112,24.945,AlSiC.csv,True,
AlSiC,0.5,40,6.0,3,150.0,,37.677,5.759,9.314,59.276,AlSiC.csv,True,
AlSiC,0.5,40,8.0,4,200.0,,39.86,4.14,5.127,33.8,AlSiC.csv,True,
AlSiC,0.5,40,10.0,3,175.0,,19.729,4.165,4.919,29.558,AlSiC.csv,True,
AlSiC,0.5,40,10.0,5,200.0,,36.889,4.069,4.968,24.954,AlSiC.csv,True,
AlSiC,1.0,2,6.0,2,175.0,,2.134,2.21,2.756,11.838,AlSiC.csv,True,
AlSiC,1.0,2,6.0,2,175.0,,3.668,2.548,3.036,12.455,AlSiC.csv,True,
AlSiC,1.0,2,10.0,3,175.0,,4.288,1.469,1.88,14.309,AlSiC.csv,True,
AlSiC,1.0,5,2.0,2,125.0,,13.356,1.258,1.592,12.03,AlSiC.csv,True,
AlSiC,1.0,5,2.0,2,175.0,,12.048,1.599,1.944,11.335,AlSiC.csv,True,
AlSiC,1.0,5,2.0,3,125.0,,17.569,1.212,1.528,15.504,AlSiC.csv,True,
AlSiC,1.0,5,10.0,4,125.0,,4.141,1.364,1.746,14.439,AlSiC.csv,True,
AlSiC,1.0,10,4.0,2,125.0,,9.995,1.607,2.046,13.179,AlSiC.csv,True,
AlSiC,1.0,10,4.0,3,175.0,,16.742,1.953,2.538,16.428,AlSiC.csv,True,
AlSiC,1.0,10,6.0,3,175.0,,12.587,1.738,2.262,17.505,AlSiC.csv,True,
AlSiC,1.0,10,6.0,4,100.0,,16.08,1.506,1.986,17.368,AlSiC.csv,True,
AlSiC,1.0,10,10.0,1,125.0,,3.385,1.298,1.619,9.576,AlSiC.csv,True,
AlSiC,1.0,20,4.0,2,200.0,,20.883,1.556,1.988,14.215,AlSiC.csv,True,
AlSiC,1.0,20,4.0,5,175.0,,54.413,3.787,5.462,38.992,AlSiC.csv,True,
AlSiC,1.0,20,6.0,4,125.0,,27.581,2.587,3.123,18.935,AlSiC.csv,True,
AlSiC,1.0,20,8.0,2,125.0,,7.993,1.924,2.422,18.707,AlSiC.csv,True,
AlSiC,1.0,20,8.0,2,200.0,,8.138,1.957,2.441,15.898,AlSiC.csv,True,
AlSiC,1.0,40,2.0,1,125.0,,-2.711,1.966,2.653,15.707,AlSiC.csv,True,
AlSiC,1.0,40,2.0,3,125.0,,-20.61,1.633,2.103,13.862,AlSiC.csv,True,
AlSiC,1.0,40,2.0,5,200.0,,-13.114,1.303,1.636,10.769,AlSiC.csv,True,
AlSiC,1.0,40,4.0,1,150.0,,23.114,2.709,3.409,24.088,AlSiC.csv,True,
AlSiC,1.0,40,4.0,4,175.0,,-2.96,4.274,5.163,25.935,AlSiC.csv,True,
AlSiC,1.0,40,10.0,2,100.0,,10.045,2.6,3.229,20.833,AlSiC.csv,True,
AlSiC,1.0,40,10.0,5,100.0,,34.965,2.637,3.217,23.218,AlSiC.csv,True,
AlSiC,2.0,2,2.0,5,125.0,,7.107,1.556,1.904,10.044,AlSiC.csv,True,
AlSiC,2.0,2,2.0,5,200.0,,6.557,1.402,1.708,12.108,AlSiC.csv,True,
AlSiC,2.0,2,6.0,1,125.0,,-1.828,1.757,2.165,10.39,AlSiC.csv,True,
AlSiC,2.0,2,6.0,3,100.0,,0.348,1.543,1.855,10.251,AlSiC.csv,True,
AlSiC,2.0,5,2.0,2,150.0,,8.712,2.002,2.501,17.293,AlSiC.csv,True,
AlSiC,2.0,5,8.0,1,150.0,,1.098,2.061,2.429,11.187,AlSiC.csv,True,
AlSiC,2.0,5,10.0,2,150.0,,1.408,1.727,2.051,10.137,AlSiC.csv,True,
AlSiC,2.0,10,2.0,4,100.0,,38.979,2.427,2.974,20.653,AlSiC.csv,True,
AlSiC,2.0,10,2.0,4,125.0,,35.361,2.342,2.864,17.987,AlSiC.csv,True,
AlSiC,2.0,10,4.0,2,150.0,,7.655,2.289,2.821,17.996,AlSiC.csv,True,
AlSiC,2.0,10,4.0,3,100.0,,14.024,2.767,3.106,16.389,AlSiC.csv,True,
AlSiC,2.0,10,4.0,5,175.0,,25.475,2.564,3.062,17.34,AlSiC.csv,True,
AlSiC,2.0,10,6.0,1,200.0,,5.953,1.818,2.134,11.419,AlSiC.csv,True,
AlSiC,2.0,10,10.0,1,125.0,,4.564,1.815,2.151,11.888,AlSiC.csv,True,
AlSiC,2.0,10,10.0,4,125.0,,9.233,2.061,2.656,21.047,AlSiC.csv,True,
AlSiC,2.0,20,8.0,1,200.0,,6.482,2.23,2.691,16.091,AlSiC.csv,True,
AlSiC,2.0,20,8.0,3,200.0,,13.833,3.677,4.331,26.242,AlSiC.csv,True,
AlSiC,2.0,40,4.0,2,100.0,,36.821,5.001,6.087,40.154,AlSiC.csv,True,
AlSiC,2.0,40,4.0,3,175.0,,31.714,19.356,20.686,70.94,AlSiC.csv,True,
AlSiC,2.0,40,6.0,1,150.0,,11.397,3.752,4.392,20.569,AlSiC.csv,True,
AlSiC,2.0,40,8.0,2,125.0,,11.472,3.581,4.357,29.82,AlSiC.csv,True,
AlSiC,2.0,40,8.0,4,100.0,,28.91,3.255,4.134,38.959,AlSiC.csv,True,
AlSiC,2.0,40,10.0,4,150.0,,18.246,4.007,5.217,35.067,AlSiC.csv,True,
AlSiC,2.0,40,10.0,5,150.0,,25.553,4.253,5.216,36.718,AlSiC.csv,True,
AlSiC,4.0,2,2.0,4,100.0,,4.532,2.902,3.373,15.253,AlSiC.csv,True,
AlSiC,4.0,2,4.0,2,100.0,,-0.502,1.868,2.166,9.022,AlSiC.csv,True,
AlSiC,4.0,2,6.0,1,125.0,,-0.097,3.436,3.84,14.898,AlSiC.csv,True,
AlSiC,4.0,2,6.0,1,150.0,,-1.422,1.969,2.262,8.685,AlSiC.csv,True,
AlSiC,4.0,2,6.0,4,150.0,,0.692,1.344,1.646,8.589,AlSiC.csv,True,
AlSiC,4.0,2,8.0,3,175.0,,0.608,1.523,2.054,10.703,AlSiC.csv,True,
AlSiC,4.0,2,8.0,5,200.0,,2.053,1.852,2.467,13.507,AlSiC.csv,True,
AlSiC,4.0,5,2.0,4,150.0,,13.43,1.999,2.463,17.768,AlSiC.csv,True,
AlSiC,4.0,5,2.0,5,100.0,,17.268,2.121,2.601,24.522,AlSiC.csv,True,
AlSiC,4.0,5,4.0,1,125.0,,2.167,1.123,1.4,7.766,AlSiC.csv,True,
AlSiC,4.0,5,8.0,1,150.0,,1.129,1.536,1.918,9.556,AlSiC.csv,True,
AlSiC,4.0,5,8.0,3,150.0,,3.43,2.045,2.492,13.022,AlSiC.csv,True,
AlSiC,4.0,5,10.0,1,150.0,,1.728,1.765,2.276,11.5,AlSiC.csv,True,
AlSiC,4.0,10,4.0,4,175.0,,14.234,1.735,2.125,13.623,AlSiC.csv,True,
AlSiC,4.0,10,6.0,3,125.0,,7.475,1.489,1.827,12.266,AlSiC.csv,True,
AlSiC,4.0,10,10.0,2,200.0,,2.805,1.398,1.733,13.164,AlSiC.csv,True,
AlSiC,4.0,20,2.0,2,200.0,,27.922,2.763,3.588,20.096,AlSiC.csv,True,
AlSiC,4.0,20,2.0,4,175.0,,60.341,2.838,3.498,23.903,AlSiC.csv,True,
AlSiC,4.0,20,2.0,5,125.0,,72.956,5.063,6.363,38.536,AlSiC.csv,True,
AlSiC,4.0,20,8.0,4,125.0,,16.218,1.667,2.1,17.74,AlSiC.csv,True,
AlSiC,4.0,20,10.0,1,175.0,,7.334,2.279,2.659,14.355,AlSiC.csv,True,
AlSiC,4.0,40,2.0,1,100.0,,25.789,19.145,20.141,63.046,AlSiC.csv,True,
AlSiC,4.0,40,4.0,3,175.0,,53.67,3.118,3.896,38.374,AlSiC.csv,True,
AlSiC,4.0,40,6.0,5,100.0,,54.905,6.033,7.492,40.756,AlSiC.csv,True,
CFRP,4.0,50,6.0,5,10.0,,38.122,4.0,4.788,22.387,CFRP.csv,True,
CFRP,6.0,10,3.0,5,15.0,,17.396,1.711,2.142,14.799,CFRP.csv,True,
CFRP,0.5,2,4.0,4,10.0,,6.074,1.127,1.563,16.431,CFRP.csv,True,
CFRP,0.5,2,3.0,6,15.0,,9.569,1.881,2.343,15.387,CFRP.csv,True,
CFRP,1.0,2,2.0,4,10.0,,8.405,2.154,2.579,15.692,CFRP.csv,True,
CFRP,2.0,2,6.0,4,15.0,,1.833,1.123,1.414,11.288,CFRP.csv,True,
CFRP,6.0,20,2.0,6,5.0,,35.552,2.82,3.756,23.21,CFRP.csv,True,
CFRP,4.0,5,2.0,3,10.0,,10.183,1.902,2.251,13.38,CFRP.csv,True,
CFRP,0.5,2,2.0,5,20.0,,9.634,2.134,2.6,17.658,CFRP.csv,True,
CFRP,0.5,2,6.0,3,10.0,,2.621,1.268,1.567,11.426,CFRP.csv,True,
CFRP,1.0,2,6.0,2,20.0,,0.245,1.154,1.476,12.729,CFRP.csv,True,
CFRP,2.0,2,4.0,3,15.0,,3.974,1.513,1.917,12.004,CFRP.csv,True,
CFRP,0.5,2,6.0,6,20.0,,4.746,1.06,1.346,13.096,CFRP.csv,True,
CFRP,4.0,20,5.0,4,20.0,,16.18,1.381,1.67,12.34,CFRP.csv,True,
CFRP,6.0,20,6.0,2,15.0,,7.554,1.067,1.414,12.745,CFRP.csv,True,
CFRP,1.0,5,5.0,3,15.0,,7.858,1.708,2.099,11.604,CFRP.csv,True,
CFRP,2.0,2,2.0,3,15.0,,7.494,1.789,2.169,14.707,CFRP.csv,True,
CFRP,0.5,2,5.0,4,15.0,,4.504,1.205,1.546,11.305,CFRP.csv,True,
CFRP,6.0,50,3.0,4,15.0,,42.458,2.43,2.989,15.88,CFRP.csv,True,
CFRP,2.0,5,2.0,3,5.0,,14.89,1.298,1.641,10.652,CFRP.csv,True,
CFRP,2.0,5,2.0,4,5.0,,19.004,1.531,1.905,14.37,CFRP.csv,True,
CFRP,4.0,10,2.0,5,1.0,,46.624,3.002,3.41,14.742,CFRP.csv,True,
CFRP,1.0,5,3.0,5,10.0,,11.77,2.421,2.864,15.111,CFRP.csv,True,
CFRP,1.0,5,2.0,5,10.0,,14.121,1.812,2.104,11.93,CFRP.csv,True,
CFRP,0.5,2,6.0,6,5.0,,7.449,1.743,2.116,14.721,CFRP.csv,True,
CFRP,2.0,5,2.0,3,15.0,,10.661,2.169,2.546,15.011,CFRP.csv,True,
CFRP,4.0,10,3.0,4,1.0,,43.261,1.669,2.208,16.28,CFRP.csv,True,
CFRP,6.0,5,2.0,5,10.0,,12.892,1.736,2.052,12.878,CFRP.csv,True,
CFRP,2.0,5,6.0,5,5.0,,10.929,1.876,2.173,12.965,CFRP.csv,True,
CFRP,0.5,2,5.0,6,10.0,,5.279,1.473,1.778,12.166,CFRP.csv,True,
CFRP,4.0,50,4.0,2,10.0,,22.239,2.23,2.866,18.032,CFRP.csv,True,
CFRP,4.0,20,5.0,2,20.0,,9.49,1.189,1.528,9.785,CFRP.csv,True,
CFRP,1.0,5,4.0,3,10.0,,5.231,1.665,1.991,10.654,CFRP.csv,True,
CFRP,0.5,2,4.0,5,1.0,,23.792,1.929,2.547,18.187,CFRP.csv,True,
CFRP,6.0,20,2.0,5,15.0,,30.801,1.728,2.158,14.664,CFRP.csv,True,
CFRP,4.0,50,3.0,3,1.0,,67.008,1.648,2.106,12.177,CFRP.csv,True,
CFRP,0.5,5,3.0,2,1.0,,25.646,0.84,1.097,8.793,CFRP.csv,True,
CFRP,1.0,5,3.0,2,15.0,,7.893,1.718,2.114,14.145,CFRP.csv,True,
CFRP,2.0,10,3.0,3,5.0,,18.281,1.504,1.816,11.6,CFRP.csv,True,
CFRP,4.0,2,4.0,2,5.0,,3.745,1.458,1.826,12.338,CFRP.csv,True,
CFRP,6.0,2,3.0,3,1.0,,16.88,1.279,1.551,10.98,CFRP.csv,True,
CFRP,4.0,10,6.0,2,5.0,,8.529,1.548,1.894,13.411,CFRP.csv,True,
CFRP,4.0,10,4.0,2,20.0,,7.497,1.435,1.807,11.992,CFRP.csv,True,
CFRP,0.5,5,5.0,6,10.0,,10.412,1.742,2.22,14.883,CFRP.csv,True,
CFRP,2.0,10,4.0,5,1.0,,44.007,1.419,1.686,12.102,CFRP.csv,True,
CFRP,1.0,10,4.0,4,1.0,,44.124,1.705,2.209,11.427,CFRP.csv,True,
CFRP,1.0,10,3.0,6,20.0,,20.12,1.906,2.383,17.162,CFRP.csv,True,
CFRP,6.0,20,2.0,3,20.0,,19.124,2.284,2.655,14.59,CFRP.csv,True,
CFRP,2.0,10,3.0,4,15.0,,15.617,1.458,1.77,12.551,CFRP.csv,True,
CFRP,4.0,50,6.0,6,10.0,,46.287,4.093,4.727,19.327,CFRP.csv,True,
CFRP,6.0,2,5.0,6,20.0,,0.716,1.462,1.816,11.054,CFRP.csv,True,
CFRP,0.5,5,5.0,5,20.0,,9.415,2.558,3.136,15.593,CFRP.csv,True,
CFRP,1.0,10,3.0,3,1.0,,44.316,0.807,1.035,6.256,CFRP.csv,True,
CFRP,1.0,10,5.0,2,20.0,,7.238,1.731,2.131,13.296,CFRP.csv,True,
CFRP,2.0,10,6.0,2,5.0,,9.601,1.451,1.815,13.322,CFRP.csv,True,
CFRP,0.5,5,6.0,3,15.0,,6.739,1.581,1.874,12.081,CFRP.csv,True,
CFRP,0.5,5,2.0,5,1.0,,50.154,0.742,0.86,5.687,CFRP.csv,True,
CFRP,6.0,5,3.0,2,5.0,,7.677,1.351,1.596,8.094,CFRP.csv,True,
